Id,Date,Temperature,Humidity,Light,CO2
1,2015-02-02 14:19:00,23.7,26.272,585.2,749.2
2,2015-02-02 14:19:59,23.718,26.29,578.4,760.4
3,2015-02-02 14:21:00,23.73,26.23,572.666666666667,769.666666666667
4,2015-02-02 14:22:00,23.7225,26.125,493.75,774.75
5,2015-02-02 14:23:00,23.754,26.2,488.6,779.0
6,2015-02-02 14:23:59,23.76,26.26,568.666666666667,790.0
7,2015-02-02 14:25:00,23.73,26.29,536.333333333333,798.0
8,2015-02-02 14:25:59,23.754,26.29,509.0,797.0
9,2015-02-02 14:26:59,23.754,26.35,476.0,803.2
10,2015-02-02 14:28:00,23.736,26.39,510.0,809.0
11,2015-02-02 14:29:00,23.745,26.445,481.5,815.25
12,2015-02-02 14:30:00,23.7,26.56,481.8,824.0
13,2015-02-02 14:31:00,23.7,26.6,475.25,832.0
14,2015-02-02 14:31:59,23.7,26.7,469.0,845.333333333333
15,2015-02-02 14:32:59,23.7,26.774,464.0,852.4
16,2015-02-02 14:34:00,23.7,26.89,464.0,861.0
17,2015-02-02 14:35:00,23.7,26.9725,455.0,880.0
18,2015-02-02 14:36:00,23.6,26.89,454.0,891.0
19,2015-02-02 14:37:00,23.64,26.976,458.0,897.6
20,2015-02-02 14:38:00,23.65,27.05,464.0,900.5
21,2015-02-02 14:38:59,23.64,27.1,473.0,908.8
22,2015-02-02 14:39:59,23.6,27.16,464.0,918.0
23,2015-02-02 14:41:00,23.6,27.236,498.4,925.2
24,2015-02-02 14:42:00,23.6,27.29,530.2,929.4
25,2015-02-02 14:43:00,23.6,27.33,533.6,936.4
26,2015-02-02 14:44:00,23.6,27.34,524.25,950.0
27,2015-02-02 14:44:59,23.625,27.3925,498.666666666667,961.0
28,2015-02-02 14:45:59,23.6,27.39,516.333333333333,963.0
29,2015-02-02 14:47:00,23.6,27.412,501.2,958.6
30,2015-02-02 14:48:00,23.6,27.5,522.0,965.333333333333
31,2015-02-02 14:49:00,23.6,27.525,520.5,979.25
32,2015-02-02 14:50:00,23.6,27.6,505.285714285714,978.428571428571
33,2015-02-02 14:51:00,23.6,27.6,488.333333333333,983.0
34,2015-02-02 14:51:59,23.6,27.54,512.0,992.6
